frequency_hz,0.10_uF_ohm,0.47_uF_ohm,1.00_uF_ohm,4.00_uF_ohm
98.43705051483356,16168.19502159269,3440.0414848652827,1616.8194895341735,404.2048554676171
100.91455152161588,15771.25802011054,3355.5868034700725,1577.1257890682057,394.2814299253787
103.45440721300623,15384.066013823736,3273.205525302156,1538.4065881137747,384.6016292503092
106.05818695534693,15006.379758390676,3192.8467473099827,1500.6379622365198,375.15947233354865
108.72749961338693,14637.965883033996,3114.4608161365204,1463.7965743584973,365.9491249053347
111.4639945443935,14278.596746341644,3037.9992974386246,1427.8596603382916,356.96489593002997
114.26936261728288,13928.050295608242,2963.414945959678,1392.8050149051473,348.2012340896552
117.14533725740105,13586.109929629652,2890.661676336937,1358.610977938429,339.65272435375334
120.09369551760024,13252.564364865962,2819.694534625574,1325.2564210839166,331.3140846334643
123.1162591762728,12927.207504890233,2750.469670521819,1292.7207346986834,323.18016251774327
126.2148958630204,12609.8383130424,2682.944310268038,1260.983815116483,315.2459320897076
129.39152021265426,12300.260688209568,2617.0767302230115,1230.02605222578,307.5064908211445
132.64809504824044,11998.283343655918,2552.8262310810674,1199.8283173527414,299.9570565432584
135.98663259392032,11703.719688827407,2490.1531127241356,1170.3719514417046,292.5929644917878
139.40919571825538,11416.387714058248,2429.018649691221,1141.6387535258261,285.40966442466754
142.91789920886478,11136.109878107929,2369.3850672501057,1113.6109694807835,278.40271781045334
146.5149110791443,10862.712998459174,2311.215518056486,1086.2712810545715,271.5677950857714
150.2024539078731,10596.028144309163,2254.4740593861543,1059.6027951666222,264.900672980098
153.9828062125356,10335.890532187916,2199.1256309261366,1033.5890334696471,258.39723190621913
157.8583038572079,10082.13942413928,2145.136033111081,1008.2139221677295,252.05345341475453
161.8313414958786,9834.6180284016,2092.471905991475,983.4617820843974,245.86541771117447
165.90437405209624,9593.1734025267,2041.1007086206725,959.3173189745182,239.82930123377395
170.0799182358558,9357.656358877404,1990.9906989479794,935.7656140740522,233.94137429111066
174.36055409866327,9127.921372445142,1942.1109142053747,912.7921148818108,228.19799875744403
178.74892662773908,8903.82649093061,1894.4311517757428,890.3826261675247,222.5956258247522
183.24774738034515,8685.233247032023,1847.9219505307922,868.5233012006671,217.13079380993761
187.85979615924455,8472.006572886756,1802.5545726271555,847.20063319462,211.8001260158678
192.58792273032986,8264.01471661349,1758.3009857493953,826.4014469608848,206.60032864492868
197.43504858348197,8061.129160903249,1715.1338457889487,806.1128907681901,201.52818876380027
202.40416873774709,7863.224543609069,1673.0264799483127,786.322428401455,196.58057231819757
207.49835359194628,7670.17858028526,1631.9528702600362,767.0178314157171,191.7544221963525
212.7207508218618,7481.871988628378,1591.8876375103284,748.1871715802273,187.04675634003675
218.07458732517327,7298.1884147731425,1552.806025557344,729.8188135080449,182.45466590196068
223.563171215345,7119.014361397881,1514.6838860344628,711.9014074665776,177.9753134484077
229.18989386569504,6944.239117594993,1477.4976634291174,694.4238823646303,173.60593120599628
234.95823200491049,6773.754690463158,1441.2243805279393,677.3754389116258,169.34381935148465
240.87174986530408,6607.455738378963,1405.8416242192347,660.7455429447652,165.18634434356056
246.9341013851392,6445.239505906724,1371.3275316440095,644.5239189200112,161.13093729558682
253.14903246638264,6287.005760306339,1337.6607766870031,628.7005435628733,157.17509238829714
259.5203832892816,6132.656729599916,1304.8205567993734,613.2656396750701,153.3163653214611
266.05209068519565,5982.097042158845,1272.7865801448825,598.2096700932357,149.5523718035608
272.748190569149,5835.233667774067,1241.5390530616548,583.5233317959461,145.88078607854666
279.61282043360535,5691.975860173087,1211.0586678317566,569.1975501554213,142.29933948876274
286.65022190500673,5552.235100948247,1181.3265907510395,555.2234733303519,138.80581907315275
293.86474336465756,5415.925044861561,1152.3244504918705,541.5924667963811,135.39806619988022
301.2608426355721,5282.961466492325,1124.0343267515607,528.2961080108671,132.07397523251868
308.84308973694425,5153.2622081946,1096.4387391794878,515.3261812086295,128.83149222898763
316.61616970794296,5026.747129332347,1069.5206365760619,502.6746723254638,125.66861367243095
324.5848855025792,4903.338056760847,1043.2633863568578,490.3337640462821,122.58338523325125
332.75416095743196,4782.958736523837,1017.6507642754061,478.29583097482646,119.5739005615379
341.12904383406607,4665.5347867365,992.6669443983016,466.5534349219678,116.63830010914123
349.71470893802234,4550.99365162523,968.2964893264266,455.09932030968196,113.77476998066594
358.5164613163094,4439.264556695702,944.5243406562431,443.92640968785594,110.98154081267208
367.5397395353709,4330.278465001594,921.3358096752658,433.02779936115985,108.25688668039267
376.79011904155266,4223.968034486958,898.7165682859692,422.39675512328404,105.59912403129215
386.2733156061471,4120.2675763758425,876.6526401525172,412.0267080959004,103.00661064480624
395.9951888571454,4019.1130145834713,855.1303920648415,401.9112506697795,100.4777446176207
405.96174589987857,3920.441846123875,834.136525514734,392.04413254555396,98.01096337386137
416.17914502878176,3824.1931024895703,813.6580684787574,382.4192568716857,95.60474269958549
426.65369953257846,3730.307311979377,793.6823674028864,373.030676477247,93.25759580097619
437.3918815952362,3638.726462951092,774.1970793839264,363.87259019718755,90.96807238565867
448.4003262951033,3549.3939679763253,755.1901645428841,354.9393392878171,88.73475776657027
459.6858357046953,3462.2546288753697,736.6498785855767,346.2254039302929,86.5562719878313
471.25538309366686,3377.2546026104874,718.5647655458836,337.7253998199465,84.43126897207635
