frequency_hz,source_0.1_ohm_db,source_1_ohm_db,source_10_ohm_db,source_50_ohm_db
71.25592221255656,-2.2633895861286416e-08,-1.0098198894980235e-06,-8.84454035613514e-05,-0.002182751886364184
73.04931827732594,-2.3787553599740822e-08,-1.0612906128290402e-06,-9.295343576171458e-05,-0.002293977821769666
74.88785121416522,-2.50000073484807e-08,-1.1153848079965343e-06,-9.769123824526352e-05,-0.0024108698960877794
76.77265704498288,-2.6274263880580493e-08,-1.1722361925713885e-06,-0.00010267052193342562,-0.0025337165928502113
78.70490038351767,-2.7613468832273286e-08,-1.2319853048196684e-06,-0.00010790359458413221,-0.0026628210661429723
80.68577515494812,-2.902093273979287e-08,-1.294779840253638e-06,-0.00011340339123547196,-0.0027985018848893876
82.71650533361466,-3.050013489668396e-08,-1.3607750257916288e-06,-0.00011918350615331772,-0.002941093814676757
84.79834569930763,-3.2054732032749866e-08,-1.4301339968109715e-06,-0.00012525822642956685,-0.003090948639038337
86.93258261259112,-3.368856988598261e-08,-1.5030282089168144e-06,-0.0001316425673004945,-0.0032484360221446975
89.12053480963931,-3.5405683202563404e-08,-1.5796378506753656e-06,-0.0001383523092286884,-0.003413944415004526
91.36355421707866,-3.721031888072255e-08,-1.660152303599305e-06,-0.00014540403692126427,-0.0035878820072554694
93.6630267873372,-3.9106935970739995e-08,-1.744770595383019e-06,-0.0001528151802940948,-0.0037706777269432994
96.02037335501946,-4.110022303284056e-08,-1.833701890746752e-06,-0.00016060405754994713,-0.00396278229053029
98.43705051483356,-4.319511067345182e-08,-1.9271660343545987e-06,-0.0001687899204371788,-0.00416466930573111
100.91455152161588,-4.539677540251478e-08,-2.0253940619098477e-06,-0.0001773930018250853,-0.004376836429753429
103.45440721300623,-4.7710656027051895e-08,-2.1286287912897037e-06,-0.00018643456568571737,-0.0045998065856582854
106.05818695534693,-5.014248065233722e-08,-2.237125412715882e-06,-0.00019593695964529074,-0.004834129239774897
108.72749961338693,-5.269825221698553e-08,-2.3511521252131557e-06,-0.0002059236701911778,-0.005080381743108096
111.4639945443935,-5.538429188768981e-08,-2.4709908000693193e-06,-0.00021641938069570852,-0.005339170739937577
